év	időtartam	értékelés	rendező	bevétel	cím
2017	134	7.6	Joseph Kosinski	18340051	Only the Brave
2015	142	7.6	Steven Spielberg	72313754	Bridge of Spies
2018	118	7.6	Brad Bird	608581744	Incredibles 2
2014	130	7.6	Matt Reeves	208545589	Dawn of the Planet of the Apes
2018	136	7.6	Bradley Cooper	215288866	A Star Is Born
2010	117	7.6	Matthew Vaughn	48071303	Kick-Ass
2009	129	7.6	John Lee Hancock	255959475	The Blind Side
2008	123	7.6	Gabriele Muccino	69951824	Seven Pounds
2009	153	7.6	David Yates	301959197	Harry Potter and the Half-Blood Prince
2004	103	7.6	James Wan	56000369	Saw
2003	124	7.6	Alejandro G. Iñárritu	16290476	21 Grams
1998	81	7.6	Tom Tykwer	7267585	Lola rennt
1996	147	7.6	Barry Levinson	49100000	Sleepers
1992	120	7.6	Jonathan Lynn	52929168	My Cousin Vinny
1989	95	7.6	Rob Reiner	92823600	When Harry Met Sally...
1981	109	7.6	Mark Rydell	119285432	On Golden Pond
1979	92	7.6	Walter Hill	22490039	The Warriors
2019	161	7.6	Quentin Tarantino	142502728	Once Upon a Time... in Hollywood
2017	111	7.6	Sean Baker	5904366	The Florida Project
2015	121	7.6	Denis Villeneuve	46889293	Sicario
2015	133	7.6	Ryan Coogler	109767581	Creed
2011	101	7.6	Gareth Evans	4105123	Serbuan maut
2012	109	7.6	David Ayer	41003371	End of Watch
2009	88	7.6	Ruben Fleischer	75590286	Zombieland
2006	117	7.6	Zack Snyder	210614939	300
2009	162	7.6	Zack Snyder	107509799	Watchmen
2002	113	7.6	Danny Boyle	45064915	28 Days Later...
2001	110	7.6	Wes Anderson	52364010	The Royal Tenenbaums
2001	106	7.6	Alfonso Cuarón	13622333	Y tu mamá también
2001	131	7.6	Jean-Jacques Annaud	51401758	Enemy at the Gates
2002	145	7.6	Steven Spielberg	132072926	Minority Report
2000	101	7.6	Mary Harron	15070285	American Psycho
1998	170	7.6	Terrence Malick	36400491	The Thin Red Line
1998	100	7.6	Alex Proyas	14378331	Dark City
1997	134	7.6	David Lynch	3796699	Lost Highway
1995	128	7.6	John McTiernan	100012499	Die Hard: With a Vengeance
1995	135	7.6	Clint Eastwood	71516617	The Bridges of Madison County
1990	162	7.6	Francis Ford Coppola	66666062	The Godfather: Part III
1987	109	7.6	Richard Donner	65207127	Lethal Weapon
1984	99	7.6	Joel Coen	2150000	Blood Simple
1981	96	7.6	George Miller	12465371	Mad Max 2
1979	112	7.6	Don Siegel	43000000	Escape from Alcatraz
1978	121	7.6	Alan Parker	35000000	Midnight Express
1973	112	7.6	Robert Altman	959000	The Long Goodbye
2016	107	7.6	Ron Clements	248757044	Moana
2010	94	7.6	Hiromasa Yonebayashi	19202743	Kari-gurashi no Arietti
2010	95	7.6	Pierre Coffin	251513985	Despicable Me
2007	127	7.6	Matthew Vaughn	38634938	Stardust
2006	110	7.6	Neil Burger	39868642	The Illusionist
2004	133	7.6	Jean-Pierre Jeunet	6167817	Un long dimanche de fiançailles
2004	106	7.6	Marc Forster	51680613	Finding Neverland
2004	113	7.6	Eric Bress	57938693	The Butterfly Effect
2001	152	7.6	Chris Columbus	317575550	Harry Potter and the Sorcerer's Stone
1998	88	7.6	Tony Bancroft	120620254	Mulan
1995	136	7.6	Ang Lee	43182776	Sense and Sensibility
1995	140	7.6	Ron Howard	173837933	Apollo 13
1994	92	7.6	Krzysztof Kieslowski	1464625	Trois couleurs: Blanc
1993	102	7.6	Richard Linklater	7993039	Dazed and Confused
1991	118	7.6	Isao Takahata	453243	Omohide poro poro
1990	103	7.6	Chris Columbus	285761243	Home Alone
1989	83	7.6	Ron Clements	111543479	The Little Mermaid
1988	85	7.6	David Zucker	78756177	The Naked Gun: From the Files of Police Squad!
1987	93	7.6	John Hughes	49530280	Planes, Trains & Automobiles
1979	95	7.6	James Frawley	76657000	The Muppet Movie
1977	138	7.6	Steven Spielberg	132088635	Close Encounters of the Third Kind
1967	78	7.6	Wolfgang Reitherman	141843612	The Jungle Book
1964	87	7.6	Richard Lester	13780024	A Hard Day's Night
